[ 2][t 7][1603055338.143011093][SessionMultiProxy.cpp:121][#9][!SessionMultiProxy:4:main]	[session_count:1]
[ 2][t 7][1603055338.143059969][Session.cpp:145][#9][!SessionProxy:4:main]	Generate new session_id 1492012205890681155 for auth key 864231450724921975 for main DC4
[ 2][t 7][1603055338.677605391][Td.cpp:4234][#9][!Td]	Close Td in state 2
[ 2][t 7][1603055338.677656889][Td.cpp:4088][#9][!Td]	Have no request actors
[ 2][t 7][1603055338.677848816][Td.cpp:4009][#9][!Td]	ON_ACTORS_CLOSED
[ 2][t 7][1603055338.715113640][Td.cpp:4066][#9][!Td]	ON_CLOSED
[ 2][t 7][1603055338.715164661][Td.cpp:4076][#9][!Td]	Stop Td
[ 2][t 5][1603055346.081902266][TdDb.cpp:315][#10][!Td]	Got PRAGMA user_version = 11
[ 2][t 5][1603055346.082559824][AuthDataShared.cpp:109][#10][!Td]	DcId{4} [auth_key_id:864231450724921975][state:OK][created_at:1603055051.000000]
[ 2][t 5][1603055346.082850933][SessionMultiProxy.cpp:121][#10][!SessionMultiProxy:4:main]	[session_count:1]
[ 2][t 5][1603055346.082899094][Session.cpp:145][#10][!SessionProxy:4:main]	Generate new session_id 7430179835471025713 for auth key 864231450724921975 for main DC4
[ 2][t 5][1603055346.632924795][Td.cpp:4234][#10][!Td]	Close Td in state 2
[ 2][t 5][1603055346.632965326][Td.cpp:4088][#10][!Td]	Have no request actors
[ 2][t 5][1603055346.633089542][Td.cpp:4009][#10][!Td]	ON_ACTORS_CLOSED
[ 2][t 5][1603055346.633877277][Td.cpp:4066][#10][!Td]	ON_CLOSED
[ 2][t 5][1603055346.633895636][Td.cpp:4076][#10][!Td]	Stop Td
